TotalRows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total rows: 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ward_Value,PollingDistrict_Value,PandPDistinctPeople_Value8,PandPDistinctPeople_Value,PandPDistinctPeople_Value9,PandPDistinctPeople_Value2,PandPDistinctPeople_Value3,PandPDistinctPeople_Value12,PandPDistinctPeople_Value13,PandPDistinctPeople_Value4,PandPDistinctPeople_Value5,PandPDistinctPeople_Value6,PandPDistinctPeople_Value11,PandPDistinctPeople_Value7,PandPDistinctPeople_Value10,PandPDistinctPeople_Total_2_3_3_2_2_1,PandPDistinctPeople_Total_1_1_1_1_3_3_2_2_1,PandPDistinctPeople_Total2_2_3_3_2_2_1,PandPDistinctPeople_Total2_1_1_1_1_3_3_2_2_1,PandPDistinctPeople_Total3_1_1_1_1_3_3_2_2_1,PandPDistinctPeople_Total_2_2_1,PandPDistinctPeople_Total2_2_2_1,PandPDistinctPeople_Total_1_1_3_3_2_2_1,PandPDistinctPeople_Total2_1_1_3_3_2_2_1,PandPDistinctPeople_Total3_1_1_3_3_2_2_1,PandPDistinctPeople_Total4_2_3_3_2_2_1,PandPDistinctPeople_Total4_1_1_3_3_2_2_1,PandPDistinctPeople_Total3_2_3_3_2_2_1,PandPDistinctPeople_Total_2_3_3_2_2_2,PandPDistinctPeople_Total_1_1_1_1_3_3_2_2_2,PandPDistinctPeople_Total2_2_3_3_2_2_2,PandPDistinctPeople_Total2_1_1_1_1_3_3_2_2_2,PandPDistinctPeople_Total3_1_1_1_1_3_3_2_2_2,PandPDistinctPeople_Total_2_2_2,PandPDistinctPeople_Total2_2_2_2,PandPDistinctPeople_Total_1_1_3_3_2_2_2,PandPDistinctPeople_Total2_1_1_3_3_2_2_2,PandPDistinctPeople_Total3_1_1_3_3_2_2_2,PandPDistinctPeople_Total4_2_3_3_2_2_2,PandPDistinctPeople_Total4_1_1_3_3_2_2_2,PandPDistinctPeople_Total3_2_3_3_2_2_2
BISHOPS,VAA,"1,717",0,710,0,0,0,0,74,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BISHOPS,VAB,"2,285",0,1001,0,0,0,0,105,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BISHOPS,VAC,975,0,484,0,0,0,0,165,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BISHOPS,VAD,"2,702",0,1497,0,0,0,0,166,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAPHAM TOWN,VHA,"2,606",0,1361,0,0,0,0,70,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAPHAM TOWN,VHB,"2,881",0,964,0,0,0,0,190,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAPHAM TOWN,VHC,"2,121",0,1086,0,0,0,0,64,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAPHAM TOWN,VHD,"2,167",0,1027,0,0,0,0,101,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERNDALE,VFA,"1,808",0,859,0,0,0,0,71,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERNDALE,VFB,"2,231",0,1191,0,0,0,0,127,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERNDALE,VFC,"2,504",0,1474,0,0,0,0,150,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERNDALE,VFD,"2,880",0,1359,0,0,0,0,124,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERNDALE,VFE,"1,921",0,1203,0,0,0,0,199,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARKHALL,VGA,"1,364",0,578,0,0,0,0,70,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARKHALL,VGB,"2,142",0,1118,0,0,0,0,193,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARKHALL,VGC,"1,438",0,581,0,0,0,0,52,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARKHALL,VGD,"1,952",0,1057,0,0,0,0,179,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVAL,VCA,"1,670",0,728,0,0,0,0,171,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVAL,VCB,684,0,327,0,0,0,0,117,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVAL,VCC,"1,758",0,794,0,0,0,0,189,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVAL,VCD,"2,082",0,1009,0,0,0,0,193,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVAL,VCE,823,0,291,0,0,0,0,167,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCES,VBA,"2,802",0,1649,0,0,0,0,193,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCES,VBB,746,0,480,0,0,0,0,166,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCES,VBC,"1,620",0,911,0,0,0,0,61,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCES,VBD,"1,076",0,572,0,0,0,0,185,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCES,VBE,757,0,269,0,0,0,0,151,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STOCKWELL,VDA,"2,922",0,1594,0,0,0,0,179,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STOCKWELL,VDB,"1,750",0,1124,0,0,0,0,91,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STOCKWELL,VDC,"2,569",0,1015,0,0,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STOCKWELL,VDD,533,0,241,0,0,0,0,165,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STOCKWELL,VDE,913,0,503,0,0,0,0,192,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VASSALL,VEA,934,0,600,0,0,0,0,150,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VASSALL,VEB,"1,849",0,788,0,0,0,0,124,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VASSALL,VEC,638,0,261,0,0,0,0,136,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VASSALL,VED,"2,476",0,907,0,0,0,0,193,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
